ID	gene_name	Especie	KO	LFC	DE	node_type	top_pathway
WP_002909105.1	pheS	kleb	K01889	1.3286861067595952	yes	gene	Aminoacyl-tRNA biosynthesis
NP_251429.1	pheT	pseu	K01890	0.703988327532814	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001083655.1	pheT	aci	K01890	-0.03987497555161923	yes	gene	Aminoacyl-tRNA biosynthesis
WP_002909101.1	pheT	kleb	K01890	1.5609652585905671	yes	gene	Aminoacyl-tRNA biosynthesis
NP_252491.1	hisS	pseu	K01892	0.522498544101829	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001083558.1	hisS	aci	K01892	0.014938752236616892	yes	gene	Aminoacyl-tRNA biosynthesis
WP_004149335.1	hisS	kleb	K01892	1.6769843934202893	yes	gene	Aminoacyl-tRNA biosynthesis
NP_252890.1	ddlA	pseu	K01921	0.509029638769162	yes	gene	Peptidoglycan biosynthesis
NP_253100.1	ddlB	pseu	K01921	0.7242790974895179	yes	gene	Peptidoglycan biosynthesis
YP_001086325.1	ddl	aci	K01921	-0.08662417369149189	yes	gene	Peptidoglycan biosynthesis
WP_004151348.1	ddlA	kleb	K01921	2.1307724742595875	yes	gene	Peptidoglycan biosynthesis
NP_253104.1	murD	pseu	K01925	0.6936735914529244	yes	gene	Peptidoglycan biosynthesis
YP_001083322.1	murD	aci	K01925	-0.02320274343922435	yes	gene	Peptidoglycan biosynthesis
WP_004147075.1	murD	kleb	K01925	1.5293002836014304	yes	gene	Peptidoglycan biosynthesis
NP_253107.1	murE	pseu	K01928	0.5128599728940628	yes	gene	Peptidoglycan biosynthesis
YP_001086198.1	A1S_3203	aci	K01928	-0.05722805079528648	yes	gene	Peptidoglycan biosynthesis
WP_004147071.1	murE	kleb	K01928	2.1710067999768605	yes	gene	Peptidoglycan biosynthesis
NP_253106.1	murF	pseu	K01929	0.48955255666126796	yes	gene	Peptidoglycan biosynthesis
YP_001086197.1	A1S_3202	aci	K01929	0.04302045839673596	yes	gene	Peptidoglycan biosynthesis
WP_004147073.1	murF	kleb	K01929	3.1327208575846894	yes	gene	Peptidoglycan biosynthesis
NP_253102.1	murG	pseu	K02563	0.7737632821564322	yes	gene	Peptidoglycan biosynthesis
YP_001086327.1	murG	aci	K02563	0.029726234467590373	yes	gene	Peptidoglycan biosynthesis
WP_002888566.1	murG	kleb	K02563	1.338424800547232	yes	gene	Peptidoglycan biosynthesis
NP_252963.1	rplA	pseu	K02863	0.7198795343131366	yes	gene	Ribosome
YP_001083356.2	rplA	aci	K02863	-0.0403086984367107	yes	gene	Ribosome
WP_002884036.1	rplA	kleb	K02863	2.8291078332168436	yes	gene	Ribosome
NP_252962.1	rplJ	pseu	K02864	1.1286831374601256	yes	gene	Ribosome
YP_001083357.1	A1S_0285	aci	K02864	-0.00442727684196953	yes	gene	Ribosome
WP_025862008.1	rplJ	kleb	K02864	1.8885902337910156	yes	gene	Ribosome
NP_252943.1	rplN	pseu	K02874	1.3141514462586539	yes	gene	Ribosome
YP_001086070.1	rplN	aci	K02874	0.351656321931511	yes	gene	Ribosome
WP_002919748.1	rplN	kleb	K02874	1.236209558364763	yes	gene	Ribosome
NP_252946.1	rplP	pseu	K02878	1.237299336498726	yes	gene	Ribosome
YP_001086073.2	rplP	aci	K02878	0.4537944604461259	yes	gene	Ribosome
WP_002919759.1	rplP	kleb	K02878	0.8024864625475381	yes	gene	Ribosome
NP_252927.1	rplQ	pseu	K02879	0.8270503871945927	yes	gene	Ribosome
YP_001086054.1	rplQ	aci	K02879	0.15601394996725126	yes	gene	Ribosome
WP_002919206.1	rplQ	kleb	K02879	2.1119910700304985	yes	gene	Ribosome
NP_252937.1	rplR	pseu	K02881	0.48419102171856565	yes	gene	Ribosome
YP_001086064.2	rplR	aci	K02881	0.3737590901810055	yes	gene	Ribosome
WP_000358960.1	rplR	kleb	K02881	1.7234692127512847	yes	gene	Ribosome
NP_252431.1	rplS	pseu	K02884	0.5960453104561676	yes	gene	Ribosome
YP_001086160.1	rplS	aci	K02884	-0.03935767691328529	yes	gene	Ribosome
WP_002914145.1	rplS	kleb	K02884	1.7842691359237777	yes	gene	Ribosome
NP_252950.1	rplB	pseu	K02886	1.1124843538906894	yes	gene	Ribosome
YP_001086076.1	rplB	aci	K02886	0.4345451385261434	yes	gene	Ribosome
WP_002919786.1	rplB	kleb	K02886	2.0903468117541646	yes	gene	Ribosome
NP_253258.1	rplU	pseu	K02888	0.18139089149140375	yes	gene	Ribosome
YP_001085746.1	A1S_2731	aci	K02888	-0.02623013386218176	yes	gene	Ribosome
WP_002918379.1	rplU	kleb	K02888	1.3161192203408199	yes	gene	Ribosome
NP_252948.1	rplV	pseu	K02890	1.226414928767328	yes	gene	Ribosome
YP_001086075.2	rplV	aci	K02890	0.4796303313329542	yes	gene	Ribosome
WP_002919773.1	rplV	kleb	K02890	0.36127976786248084	yes	gene	Ribosome
NP_252951.1	rplW	pseu	K02892	1.0303062857149143	yes	gene	Ribosome
YP_001086077.1	rplW	aci	K02892	0.49145356363157155	yes	gene	Ribosome
WP_000617546.1	rplW	kleb	K02892	2.0886314530954895	yes	gene	Ribosome
NP_252942.1	rplX	pseu	K02895	1.3907348083616657	yes	gene	Ribosome
YP_001086069.1	rplX	aci	K02895	0.39869263748457584	yes	gene	Ribosome
WP_000729185.1	rplX	kleb	K02895	0.5396939380342012	yes	gene	Ribosome
NP_253360.1	PA4671	pseu	K02897	0.7654126182972725	yes	gene	Ribosome
YP_001083868.1	A1S_0828	aci	K02897	0.02014900538650899	yes	gene	Ribosome
WP_002912979.1	rplY	kleb	K02897	2.2592319344674525	yes	gene	Ribosome
NP_253257.1	rpmA	pseu	K02899	0.39335693965063	yes	gene	Ribosome
YP_001085745.1	rpmA	aci	K02899	-0.029939540483212568	yes	gene	Ribosome
WP_002434222.1	rpmA	kleb	K02899	2.9298800701114844	yes	gene	Ribosome
NP_254003.1	rpmB	pseu	K02902	0.6685761672438968	yes	gene	Ribosome
YP_001083505.1	rpmB	aci	K02902	0.0503943287922759	yes	gene	Ribosome
WP_000091955.1	rpmB	kleb	K02902	1.9416135832748793	yes	gene	Ribosome
NP_252945.1	rpmC	pseu	K02904	1.2522388281212358	yes	gene	Ribosome
YP_001086072.1	A1S_3073	aci	K02904	0.5437688995649186	yes	gene	Ribosome
WP_002919754.1	rpmC	kleb	K02904	-0.08776418324345059	yes	gene	Ribosome
NP_252953.1	rplC	pseu	K02906	0.6691996258356667	yes	gene	Ribosome
YP_001086079.2	rplC	aci	K02906	0.36813253597154016	yes	gene	Ribosome
WP_002919796.1	rplC	kleb	K02906	1.8160950723729261	yes	gene	Ribosome
NP_252935.1	rpmD	pseu	K02907	0.5014572420640437	yes	gene	Ribosome
YP_001086062.1	rpmD	aci	K02907	0.422335222965474	yes	gene	Ribosome
WP_001140434.1	rpmD	kleb	K02907	2.196466349118216	yes	gene	Ribosome
NP_252291.1	PA3601	pseu	K02909	-0.07371886102372649	yes	gene	Ribosome
NP_253736.1	rpmE	pseu	K02909	0.43076978679663647	yes	gene	Ribosome
YP_001083452.1	rpmE2	aci	K02909	0.14805556036382583	yes	gene	Ribosome
YP_001085443.1	rpmE	aci	K02909	-0.13577843739868278	yes	gene	Ribosome
WP_002882922.1	rpmE	kleb	K02909	2.2856618965940685	yes	gene	Ribosome
NP_251660.1	rpmF	pseu	K02911	0.6338762134412317	yes	gene	Ribosome
YP_001083856.1	rpmF	aci	K02911	-0.040057913317960825	yes	gene	Ribosome
WP_000290724.1	rpmF	kleb	K02911	1.74942594271465	yes	gene	Ribosome
NP_254257.1	rpmH	pseu	K02914	-0.13973029356332667	yes	gene	Ribosome
YP_001085989.1	rpmH	aci	K02914	-0.042902383036702574	yes	gene	Ribosome
WP_000831330.1	rpmH	kleb	K02914	1.2463000841839378	yes	gene	Ribosome
NP_252290.1	PA3600	pseu	K02919	0.07049857382304303	yes	gene	Ribosome
NP_252932.1	rpmJ	pseu	K02919	0.9528448245620247	yes	gene	Ribosome
YP_001086059.1	rpmJ	aci	K02919	0.34860805229511627	yes	gene	Ribosome
WP_002892018.1	ykgO	kleb	K02919	3.2425692591575612	yes	gene	Ribosome
NP_252952.1	rplD	pseu	K02926	0.9152544271166967	yes	gene	Ribosome
YP_001086078.1	rplD	aci	K02926	0.37284426618545297	yes	gene	Ribosome
WP_002919794.1	rplD	kleb	K02926	2.372756671601781	yes	gene	Ribosome
NP_252941.1	rplE	pseu	K02931	1.1408522761661644	yes	gene	Ribosome
YP_001086068.2	rplE	aci	K02931	0.31766802139766526	yes	gene	Ribosome
WP_001096200.1	rplE	kleb	K02931	1.5237735815595652	yes	gene	Ribosome
NP_252938.1	rplF	pseu	K02933	0.3922081050432027	yes	gene	Ribosome
YP_001086065.2	rplF	aci	K02933	0.3527355864934627	yes	gene	Ribosome
WP_002919662.1	rplF	kleb	K02933	1.381215385098507	yes	gene	Ribosome
NP_252961.1	rplL	pseu	K02935	1.1996175447492874	yes	gene	Ribosome
YP_001083358.1	rplL	aci	K02935	0.0748443108071335	yes	gene	Ribosome
WP_002884142.1	rplL	kleb	K02935	1.1492502817521988	yes	gene	Ribosome
NP_253619.1	rplI	pseu	K02939	0.8635163161804762	yes	gene	Ribosome
